title,series_type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
Sam Kinison: Live in Vegas,MOVIE,1991,,72,"comedy, music, documentation",US,tt0249934,6.6,272
Larry the Cable Guy: Remain Seated,MOVIE,2020,R,67,comedy,US,tt11464488,6.6,258
Smaller and Smaller Circles,MOVIE,2017,,111,"thriller, crime",PH,tt7512304,6.6,234
Ainu Mosir,MOVIE,2020,,84,drama,"JP, US, CN",tt9140354,6.6,231
Listen,MOVIE,2017,,109,"drama, romance",LB,tt6350558,6.6,227
Dolly Parton: A MusiCares Tribute,MOVIE,2021,,55,"music, documentation",US,tt14299926,6.6,226
Guatemala: Heart of the Mayan World,MOVIE,2019,,66,documentation,"GT, UY",tt11505398,6.6,218
REA(L)OVE,SHOW,2018,TV-MA,45,reality,JP,tt8477194,6.6,210
Jailbirds New Orleans,SHOW,2021,TV-MA,41,"documentation, reality",US,tt15320436,6.6,205
Andre and His Olive Tree,MOVIE,2020,,104,documentation,SG,tt13610390,6.6,201
My Sunshine,SHOW,2015,TV-PG,45,"drama, romance",CN,tt6131630,6.6,185
The Queen and the Conqueror,SHOW,2020,TV-14,46,"history, drama",CO,tt10348700,6.6,172
It Takes a Lunatic,MOVIE,2019,,126,"documentation, drama","US, GB, DE",tt11052346,6.6,170
Saavat,MOVIE,2019,,117,"thriller, crime, drama",IN,tt7798984,6.6,166
My Perfect Landing,SHOW,2020,TV-G,25,family,CA,tt10268080,6.6,161
Samurai Rabbit: The Usagi Chronicles,SHOW,2022,TV-Y7,25,"action, fantasy, scifi, animation, comedy, family",US,tt12717354,6.6,148
Octonauts and the Great Barrier Reef,MOVIE,2020,,47,"animation, comedy, family, action",,tt13150606,6.6,131
III Smoking Barrels,MOVIE,2017,,127,drama,IN,tt5791986,6.6,123
Without Gorky,MOVIE,2011,,58,documentation,US,tt1854593,6.6,97
Sommore: Chandelier Status,MOVIE,2013,,75,comedy,US,tt3012832,6.6,95
